query_clean,predicted_label
american civil war definition aka,ambiguous
average cost per hospital day,ambiguous
where do the richest people in the world live,clear
what is felony misdemeanor,ambiguous
what is secondary syphilis,ambiguous
cost of mausoleum entombment,ambiguous
where is the pulmonary artery capillaries,clear
examples of a subordinate clause,clear
how long does it take to get a passport and how much does it cost,ambiguous
elvis sings what key,ambiguous
what stops r on mexican riviera cruise?,ambiguous
how long should you bake chicken legs,clear
what causes stiffness in hands,clear
full classification of cyprinus carpio,clear
why do retroviruses use reverse transcriptase,clear
is chicken halal,clear
in what type of blood vessels are materials exchanged with the body cells,clear
how much does wegmans pay an hour,ambiguous
how long do pineapples keep,ambiguous
what is pyrroloquinoline quinone,ambiguous
how to determine hoa fees,ambiguous
a kilocalorie of heat is required to raise the temperature of,clear
what is zyprexa prescribed for,ambiguous
what does a cumulonimbus look like,ambiguous
what is gist cancer,ambiguous
estimated cost of repair to a switch for electric auto window,ambiguous
what was the name of the android created in age of ultron,clear
normal range for triglycerides,ambiguous
difference between greek and roman culture,clear
what is an alias name vs preferred name,ambiguous
president elect elect,ambiguous
how far is beijing china from reykjavik iceland,clear
a spray to get rid of squirrels,clear
what is polyurethane used for,clear
what are three types of structures that help protists move,clear
average calories per day female,ambiguous
what does multicast querier mean,ambiguous
what are green peas good for,clear
cost to send a postcard,ambiguous
contagious infectious diseases,ambiguous
example of population in an ecosystem,ambiguous
what is a gluten allergy,ambiguous
are peppers harmful,clear
what is trait,ambiguous
how much urine in a day is normal,ambiguous
do dogs get ringworm,clear
what are the only multicellular protists,clear
what is warehouse management,ambiguous
what is a gnome,ambiguous
what does corporate culture mean,ambiguous
does a dark floor make a room smaller,clear
how long do hydros stay in your urine,ambiguous
how long should a pork roast cook in grill,clear
which amendment gave congress the power to levy taxes on personal income,clear
what kind of fossil is a petoskey stone,clear
what does wryd mean,ambiguous
oakwood university tuition cost,ambiguous
what does rms mean,ambiguous
how much do you make in a resort as a massage therapist,clear
what is chemotaxis,ambiguous
causes of lymphopenia,clear
what is a tawse,ambiguous
what is electrotherapy used for,clear
how long does it take to get your refund once they send it electronically,ambiguous
what is mucuna pruriens,ambiguous
what kingdom possess a nervous system,ambiguous
how is a whale like a human,ambiguous
is moosejaw legit,clear
tsh blood test normal range,ambiguous
is fruche yoghurt healthy,clear
ernest name meaning,ambiguous
what causes osteoarthritis flare up,clear
why is sport good for children,clear
what time was treaty of versailles signed at,clear
